day,group,n
5,Arkeologia,19
5,Arkkitehtuuri,3
5,Atk,31
5,Biologia,70
5,Eläintiede,25
5,Energia,3
5,Erätalous,1
5,Filosofia,65
5,Fysiikka,3
5,Hallinto,56
5,Historia,3000
5,Kansanperinne,28
5,Kasvatus,294
5,Kasvitiede,3
5,Kemia,11
5,Kemianteollisuus,11
5,Kielitiede,60
5,Kirjallisuus,44
5,Klimatologia,14
5,Kustannustoiminta,2
5,Kuvataide,1
5,Lääketiede,131
5,Liikenne,2
5,Liikunta,10
5,Luonnonsuojelu,82
5,Maantiede,2
5,Maatalous,8
5,Matematiikka,7
5,Metalliteollisuus,1
5,Metsätalous,6
5,Metsäteollisuus,1
5,Musiikki,30
5,Oikeus,53
5,Palotoimi,1
5,Psykologia,260
5,Rakentaminen,6
5,Ravitsemus,6
5,Sähkötekniikka,2
5,Sodankäynti,13
5,Sosiaalipolitiikka,153
5,Sosiologia,198
5,Tähtitiede,2
5,Taide yleensä,13
5,Taideteollisuus,1
5,Taloustieteet,276
5,Teatteri,11
5,Tekstiiliteollisuus,1
5,Tiede,49
5,Tietoliikennetekniikka,30
5,Työelämä,73
5,Uskonto,51
5,Väestötiede,357
5,Valtio-oppi,98
5,Vapaa-aika,4
5,Viestintä,59
5,Yhteiskuntasuunnittelu,10
6,Arkeologia,24
6,Atk,80
6,Biologia,96
6,Eläintiede,59
6,Energia,5
6,Filosofia,79
6,Fysiikka,14
6,Hallinto,70
6,Historia,2170
6,Hydrologia,11
6,Kansanperinne,18
6,Kasvatus,298
6,Kasvitiede,19
6,Kemia,27
6,Kemianteollisuus,6
6,Kielitiede,65
6,Kirjallisuus,16
6,Kirjastot,4
6,Klimatologia,83
6,Kustannustoiminta,2
6,Kuvataide,2
6,Lääketiede,173
6,Liikenne,3
6,Liikunta,2
6,Luonnonsuojelu,141
6,Maantiede,26
6,Maatalous,4
6,Matematiikka,11
6,Metsätalous,9
6,Musiikki,18
6,Oikeus,39
6,Palotoimi,1
6,Psykologia,415
6,Rakentaminen,8
6,Ravitsemus,20
6,Sähkötekniikka,2
6,Sodankäynti,3
6,Sosiaalipolitiikka,339
6,Sosiologia,307
6,Tähtitiede,8
6,Taide yleensä,4
6,Taideteollisuus,2
6,Taloustieteet,394
6,Teatteri,8
6,Tekstiiliteollisuus,2
6,Tiede,61
6,Tietoliikennetekniikka,66
6,Työelämä,105
6,Uskonto,57
6,Väestötiede,256
6,Valokuvaus,2
6,Valtio-oppi,151
6,Vapaa-aika,10
6,Viestintä,99
6,Yhteiskuntasuunnittelu,32
7,Arkkitehtuuri,1
7,Atk,28
7,Biologia,31
7,Eläintiede,15
7,Energia,1
7,Filosofia,13
7,Fysiikka,21
7,Hallinto,9
7,Historia,904
7,Hydrologia,5
7,Kansanperinne,5
7,Kasvatus,97
7,Kasvitiede,11
7,Kemia,10
7,Kemianteollisuus,2
7,Kielitiede,14
7,Kirjallisuus,5
7,Klimatologia,44
7,Lääketiede,96
7,Liikenne,3
7,Liikunta,3
7,Luonnonsuojelu,50
7,Maantiede,7
7,Maatalous,11
7,Matematiikka,4
7,Metalliteollisuus,2
7,Metsätalous,4
7,Metsäteollisuus,3
7,Musiikki,9
7,Oikeus,11
7,Psykologia,137
7,Rakentaminen,4
7,Ravitsemus,3
7,Sähkötekniikka,2
7,Sodankäynti,1
7,Sosiaalipolitiikka,57
7,Sosiologia,73
7,Tähtitiede,1
7,Taide yleensä,17
7,Taloustieteet,121
7,Teatteri,4
7,Tiede,14
7,Tietoliikennetekniikka,25
7,Työelämä,45
7,Uskonto,15
7,Väestötiede,38
7,Valokuvaus,2
7,Valtio-oppi,35
7,Viestintä,23
7,Yhteiskuntasuunnittelu,14
8,Atk,3
8,Eläintiede,5
8,Filosofia,15
8,Hallinto,21
8,Historia,218
8,Kansanperinne,7
8,Kasvatus,65
8,Kemianteollisuus,2
8,Kielitiede,49
8,Kirjallisuus,5
8,Klimatologia,11
8,Kustannustoiminta,1
8,Lääketiede,13
8,Maatalous,3
8,Matematiikka,2
8,Metalliteollisuus,2
8,Metsäteollisuus,2
8,Oikeus,4
8,Psykologia,89
8,Sodankäynti,1
8,Sosiaalipolitiikka,24
8,Sosiologia,66
8,Tähtitiede,2
8,Taloustieteet,58
8,Teatteri,2
8,Tiede,17
8,Tietoliikennetekniikka,1
8,Työelämä,6
8,Uskonto,3
8,Väestötiede,46
8,Valtio-oppi,8
8,Viestintä,9
9,Fysiikka,5
9,Hallinto,4
9,Kasvatus,1
9,Lääketiede,4
9,Liikunta,1
9,Tiede,2
9,Työelämä,1
9,Viestintä,2
