sana,n
vaikuttaa,263
ihminen,237
uusi,234
vaikutus,226
tieto,197
liittyä,186
tutkija,182
suomi,170
työ,168
lapsi,165
aika,160
tehdä,155
kaikki,141
muutos,137
kehittää,136
hyvä,135
oppiminen,131
apu,130
merkitys,130
muu,130
näkökulma,130
tutkia,128
tavoite,126
toiminta,123
tutkimus,120
ymmärtää,119
nuori,117
yhteys,112
suomalainen,111
käyttö,110
oma,110
vuorovaikutus,109
käyttää,108
erilainen,103
tiede,102
osa,100
hyvinvointi,98
sosiaalinen,94
tekijä,93
hetki,92
olla,92
tulla,91
tulevaisuus,90
vuosi,90
yhteiskunta,90
kieli,89
rooli,88
aihe,87
kertoa,87
välinen,87
kestävä,85
edistää,84
tukea,84
minä,82
historia,78
kehitys,78
tapa,78
kokemus,77
terveys,77
hoito,76
toinen,76
asia,73
juuri,72
opettaja,70
suhde,70
ympäristö,69
hyödyntää,68
poliittinen,68
johtaminen,67
kehittäminen,67
tulos,67
keino,66
koulutus,66
menetelmä,65
moni,65
tuottaa,65
yhdessä,65
yritys,65
hyvin,64
maailma,63
muuttua,62
saada,61
politiikka,60
tuki,60
käytäntö,59
lisätä,59
auttaa,58
paljon,58
luonto,57
mahdollisuus,57
yhteistyö,57
tapahtua,56
tärkeä,56
vaikuttavuus,55
keskustelu,54
yhteiskunnallinen,54
yliopisto,53
kautta,52
julkinen,51
koulu,50
tarvita,50
löytää,49
lukea,49
twitteri,49
digitaalinen,48
maa,48
oikeus,48
arki,47
mahdollinen,47
palvelu,47
kiinnostaa,46
työelämä,45
rahoitus,44
toimia,44
osallisuus,43
rakentaa,43
ryhmä,43
sama,43
yksi,43
elämä,42
jälkeen,42
kysymys,42
media,42
metsä,42
opetus,42
syntyä,42
löytyä,41
osaaminen,41
päivä,41
tila,41
aiheuttaa,40
enemmän,40
mukana,40
ilmastomuutos,39
ilmiö,39
käsitys,39
organisaatio,39
teknologia,39
haaste,38
hyödyntäminen,38
ilmasto,38
jokin,38
luoda,38
mekanismi,38
muoto,38
ratkaisu,38
solu,38
arviointi,37
prosessi,37
väitöskirja,37
ymmärrys,37
kehittyminen,36
päätöksenteko,35
perustua,35
tausta,35
hanke,34
kansainvälinen,34
parantaa,34
siirtyä,34
talous,34
ala,33
konteksti,33
potilas,33
projekti,33
yhteisö,33
alue,32
johtaa,32
kanta,32
kunta,32
mahdollistaa,32
mennä,32
mieli,32
monimuotoisuus,32
välillä,32
data,31
kansallinen,31
laji,31
ottaa,31
pieni,31
suuri,31
toimija,31
tunti,31
vanha,31
asema,30
nainen,30
paikka,30
sairaus,30
taito,30
toimijuus,30
aikuinen,29
arvo,29
hyöty,29
kestävyys,29
koskea,29
lisää,29
nykyinen,29
opiskelija,29
osallistua,29
puhua,29
riski,29
se,29
seurata,29
turvallisuus,29
vähentää,29
antaa,28
ero,28
fyysinen,28
ilman,28
kohde,28
kulttuuri,28
rakenne,28
tänään,28
yksilö,28
aivot,27
eläin,27
jäädä,27
joskus,27
ongelma,27
sanoa,27
selvittää,27
tieteellinen,27
vesi,27
viime,27
ajattelu,26
kiinnostava,26
materiaali,26
tauti,26
terveydenhuolto,26
alkaa,25
kaksi,25
kaupunki,25
kiertotalous,25
kohdistua,25
millainen,25
nykyään,25
rahoittaa,25
syy,25
teema,25
tilanne,25
tuoda,25
ammatillinen,24
laajasti,24
malli,24
seuraus,24
suunnittelu,24
tekoäly,24
arvioida,23
käsite,23
kokea,23
kriittinen,23
perhe,23
pitkä,23
raja,23
tarve,23
tietää,23
tunne,23
vastata,23
viestintä,23
aineisto,22
alla,22
elää,22
estää,22
hallinta,22
kannattaa,22
käydä,22
kehittyä,22
koko,22
lääke,22
muuttaa,22
näkyä,22
oppia,22
päästä,22
sota,22
taloudellinen,22
tehokkaasti,22
teksti,22
todella,22
varhaiskasvatus,22
viimeinen,22
yhteinen,22
erityinen,21
innovaatio,21
käyttäytyminen,21
kohti,21
